  YYMMDDHHMI STN  WD   WS GST  GST  GST     PA     PS PT    PR    TA    TD    HM    PV     RN     RN     RN     RN     SD     SD     SD WC WP WW                      CA  CA   CH CT        CT  CT  CT    VS   SS    SI ST    TS    TE    TE    TE    TE  ST   WH BF IR IX
         KST  ID  16  m/s  WD   WS   TM    hPa    hPa      hPa     C     C     %   hPa     mm    DAY    JUN    INT    HR3    DAY    TOT                              TOT MID  MIN          TOP MID LOW                  GD     C     5    10    20    30 SEA    m         
202302271400  90  14  1.8  -9 -9.0   -9 1026.8 1028.9 -9  -9.0  14.0  -5.2  26.0   4.2   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  5000  1.0 -9.00 -9  17.7 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202302271400  93  18  1.7  -9 -9.0   -9 1020.9 1032.7 -9  -9.0  10.1  -8.5  26.0   3.2   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  2000  1.0  2.61 -9  15.0   6.8   4.0   2.5   2.4  -9 -9.0 -9  3  2
202302271400  95  23  2.3  -9 -9.0   -9 1013.8 1032.8 -9  -9.0  10.4 -13.6  17.0   2.1   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  5009  1.0  2.60 -9  11.7 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202302271400  98  20  1.3  -9 -9.0   -9 1018.8 1033.0 -9  -9.0  10.6 -10.2  22.0   2.8   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  2731  1.0  2.54 -9  17.8 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202302271400  99  23  1.9  -9 -9.0   -9 1030.2 1034.0 -9  -9.0   9.9  -6.9  30.0   3.6   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  3747  1.0  2.66 -9  12.7 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3  2
202302271400 100  29  5.2  29 11.0 1308  939.2 1029.8 -9  -9.0   9.5 -15.1  16.0   1.9   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  5000  1.0  2.87 -9   7.7 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202302271400 101  18  0.9  -9 -9.0   -9 1022.4 1031.7 -9  -9.0  11.3 -10.9  20.0   2.7   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0  -9   -9 -         -9  -9  -9  3497  1.0  2.53 -9  11.5   1.5   1.5   0.1   0.1  -9 -9.0 -9  3 -9
202302271400 102  16  3.7  -9 -9.0   -9 1028.4 1032.9 -9  -9.0   7.5   0.4  61.0   6.3   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  2639  1.0  2.30 -9  26.7 -99.0 -99.0 -99.0 -99.0  -9  0.5 -9  3  2
202302271400 104   2  2.5  -9 -9.0   -9 1019.5 1028.6 -9  -9.0  13.6   1.5  44.0   6.8   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  1982  1.0  2.71 -9  22.3  11.7   7.0   3.8   3.2  -9 -9.0 -9  3  2
202302271400 105  29  3.9  -9 -9.0   -9 1025.7 1028.9 -9  -9.0  19.4 -10.7  12.0   2.7   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  5000  1.0  2.58 -9  19.2   8.9   6.3   4.5   3.8  -9 -9.0 -9  3 -9
202302271400 106  16  2.0  -9 -9.0   -9 1024.9 1029.9 -9  -9.0  11.7   0.7  47.0   6.4   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  4433  1.0 -9.00 -9  17.3 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202302271400 108  25  2.3  -9 -9.0   -9 1022.0 1032.5 -9  -9.0  11.5  -5.0  31.0   4.2   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  2000  1.0  2.74 -9  18.4   4.2   2.7   1.9   2.4  -9 -9.0 -9  3  2
202302271400 112  23  3.5  -9 -9.0   -9 1024.9 1033.5 -9  -9.0   7.5 -10.3  27.0   2.8   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  3533  1.0  2.75 -9  16.7   5.8   4.8   3.0   3.1  -9  0.5 -9  3  2
202302271400 114  34  1.1  -9 -9.0   -9 1014.1 1032.4 -9  -9.0  11.2 -12.3  18.0   2.4   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  4472  1.0  2.67 -9  16.7 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202302271400 115  23  6.7  23 11.0 1320 1003.7 1030.4 -9  -9.0  12.1   2.7  53.0   7.4   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  4119  1.0  2.64 -9  15.6  15.9   9.4   4.7   4.1  -9  1.5 -9  3  2
202302271400 119  25  2.6  -9 -9.0   -9 1028.2 1033.1 -9  -9.0  10.6  -6.7  29.0   3.7   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  2512  1.0  2.59 -9  25.8   7.4   4.2   2.5   2.4  -9 -9.0 -9  3  2
202302271400 121  36  1.9  -9 -9.0   -9 1002.6 1031.5 -9  -9.0  13.1 -12.2  16.0   2.4   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  4530  1.0 -9.00 -9  16.1 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202302271400 127  36  1.4  -9 -9.0   -9 1018.3 1032.4 -9  -9.0  10.6  -9.7  23.0   2.9   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  3825  1.0  2.70 -9  12.7 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202302271400 129  18  2.5  -9 -9.0   -9 1030.4 1033.5 -9  -9.0  11.1  -3.0  37.0   4.9   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  3618  1.0  2.69 -9  28.4  11.2   7.7   5.0   3.6  -9 -9.0 -9  3 -9
202302271400 130  11  1.9  -9 -9.0   -9 1023.8 1029.7 -9  -9.0  14.7   3.7  48.0   8.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  4807  1.0 -9.00 -9  18.4 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202302271400 131  11  1.0  -9 -9.0   -9 1025.6 1032.8 -9  -9.0  10.7 -11.4  20.0   2.6   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  3765  1.0  2.76 -9  22.2 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3  2
202302271400 133  14  1.8  -9 -9.0   -9 1024.4 1032.7 -9  -9.0  12.9 -12.3  16.0   2.4   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  3881  1.0  2.70 -9  23.7  10.8   4.8   4.6   4.8  -9 -9.0 -9  3  2
202302271400 135  25  2.5  -9 -9.0   -9 1002.3 1031.8 -9  -9.0  12.5 -12.7  16.0   2.3   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  5000  1.0  2.75 -9  29.4 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202302271400 136  23  1.6  -9 -9.0   -9 1015.7 1032.8 -9  -9.0  12.7  -9.1  21.0   3.1   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  4079  1.0  2.76 -9  28.7 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3  2
202302271400 137  11  1.5  -9 -9.0   -9 1019.4 1031.1 -9  -9.0  13.8  -9.4  19.0   3.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  5000  1.0  2.70 -9  19.1 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202302271400 138  20  3.3  -9 -9.0   -9 1030.7 1031.2 -9  -9.0  15.8 -13.6  12.0   2.1   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  1993  1.0  2.75 -9  28.4  11.6   9.1   7.0   7.2  -9  0.5 -9  3  2
202302271400 140  25  2.8  -9 -9.0   -9 1031.1 1034.5 -9  -9.0   9.6  -4.0  38.0   4.5   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  3126  1.0 -9.00 -9  23.0 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202302271400 143  27  2.9  -9 -9.0   -9 1025.1 1031.7 -9  -9.0  13.9 -10.0  18.0   2.9   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  1813  1.0  2.68 -9  23.5 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3  2
202302271400 146  25  1.9  -9 -9.0   -9 1025.8 1033.2 -9  -9.0  11.8  -6.1  28.0   3.9   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  2000  1.0  2.67 -9  20.3 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3  2
202302271400 152  14  3.2  -9 -9.0   -9 1021.3 1031.1 -9  -9.0  13.6  -4.6  28.0   4.3   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  3733  1.0  2.69 -9  29.4 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3  2
202302271400 155  11  2.8  -9 -9.0   -9 1028.2 1032.5 -9  -9.0  13.3  -9.8  19.0   2.9   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  4342  1.0  2.67 -9  25.1 -99.0 -99.0 -99.0 -99.0  -9  0.5 -9  3  2
202302271400 156  27  1.4  -9 -9.0   -9 1024.7 1033.2 -9  -9.0  13.5 -16.4  11.0   1.7   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  1987  1.0  2.95 -9  29.9 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3  2
202302271400 159  18  6.0  -9 -9.0   -9 1023.4 1031.9 -9  -9.0  12.2  -0.6  41.0   5.8   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  4743  1.0  2.91 -9  33.5  15.4  10.1   7.5   7.5  -9  0.5 -9  3  2
